오름명,행정시,소재지,위도,경도,비고,표고,면적,형태,데이터기준일자,주차장,화장실
밝은오름,제주시,제주특별자치도 제주시 한림읍 금악리 18-1,33.3515126,126.3368755,15,379.9,15698,말굽형(북향),#######,,
밝은오름,제주시,제주특별자치도 제주시 한림읍 상명리 1696,33.361572,126.2657739,43,182.5,78972,말굽형(북향),#######,,
밝은오름,제주시,제주특별자치도 제주시 해안동 355-21,33.4427302,126.4676923,37,337,33180,말굽형(남향),#######,,
밧돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산66-1,33.4602935,126.7620404,103,352.8,372226,말굽형(북동향),#######,,
밧세미,제주시,제주특별자치도 제주시 봉개동 산3,33.466245,126.6025851,92,391.7,114322,말굽형(북동향),#######,,
방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,33.3150776,126.5405045,129,1699.3,395807,원추형,#######,,
방애오름,제주시,제주특별자치도 제주시 조천읍 교래리 산45,33.4276176,126.6665803,48,453.4,475019,원형,#######,,
방일봉,제주시,제주특별자치도 제주시 노형동 2093-1,33.4728802,126.4698727,20,120,22101,원추형,#######,,
방주오름,제주시,제주특별자치도 제주시 한림읍 명월리 679,33.3794057,126.282265,8,163.3,9975,원추형,#######,,
백약이오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산1,33.4372808,126.7901747,132,356.9,581463,원형,#######,Y,N
번널오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산10,33.3988071,126.7063341,62,272.3,129713,원추형(침식),#######,,
법정악,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,33.3401998,126.4792115,90,760.1,97901,원추형,#######,Y,Y
베두리오름,제주시,제주특별자치도 제주시 연동 270-3,33.4921028,126.4904836,10,85,21438,말굽형(남향),#######,,
베릿네오름,서귀포시,제주특별자치도 서귀포시 중문동 2284,33.2476492,126.4204882,61,101.2,159357,말굽형(북향),#######,Y,Y
별도봉,제주시,제주특별자치도 제주시 화북일동 4472,33.519308,126.5530793,101,136,242535,원추형,#######,,
병곳오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산8,33.3988071,126.7063341,113,288.1,482903,말굽형(북동향),#######,,
보롬이,서귀포시,제주특별자치도 서귀포시 대정읍 무릉1리 3526-1,33.270867,126.2026285,14,49,15717,원추형,#######,,
보롬이,서귀포시,제주특별자치도 서귀포시 서홍동 1212,33.2523211,126.5534792,30,85.4,109615,원추형,#######,,
보리악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,130,739.6,442410,원추형,#######,,
본지오름,서귀포시,제주특별자치도 서귀포시 성산읍 삼달리 2104-1,33.385795,126.823776,32,151.9,120987,말굽형(남향),#######,,
볼레오름,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,33.3401998,126.4792115,104,1374.2,453146,말굽형(북서향),#######,,
봉아오름,제주시,제주특별자치도 제주시 봉개동 1811-1,33.4920278,126.5922532,36,165.5,57506,말굽형(남서향),#######,,
부대악,제주시,제주특별자치도 제주시 조천읍 선흘리 산103-1,33.4475866,126.7099823,109,468.8,455827,말굽형(동북향),#######,,
부소악,제주시,제주특별자치도 제주시 조천읍 교래리 산2,33.4276176,126.6665803,129,469.2,423459,말굽형(서남향),#######,,
북돌아진오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산41,33.3689588,126.3505941,118,643,338981,말굽형(북서향),#######,,
북망산,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산11,33.3277266,126.7773794,42,141.9,83414,원추형,#######,,
북오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산93,33.3056468,126.3313681,84,314.3,121783,말굽형(남향),#######,N,N
북오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 산69,33.4909118,126.7401829,86,304.6,168850,말굽형(북향),#######,,
불칸디오름,제주시,제주특별자치도 제주시 봉개동 산78-2,33.4077725,126.6049852,91,996.3,204167,말굽형(서남형),#######,,
붉은오름,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 62-4,33.4236309,126.9302509,28,33,5343,원추형,#######,Y,Y
붉은오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158,33.3988071,126.7063341,129,569,585044,원형,#######,,
붉은오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,33.3701721,126.4819697,136,1061,411978,말굽형(북서향),#######,,
비양봉,제주시,제주특별자치도 제주시 한림읍 협재리 산100-1,33.4089411,126.2269726,104,114.1,260428,복합형,#######,,
비치미,제주시,제주특별자치도 제주시 구좌읍 송당리 산255-1,33.4292682,126.7671048,109,344.1,388793,말굽형(북동향),#######,,
빈내오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산5-2,33.3689588,126.3505941,93,658.6,359116,말굽형(남서향),#######,,
사라봉,제주시,제주특별자치도 제주시 건입동 387-1,33.5180564,126.5460544,98,148.2,233471,말굽형(북서향),#######,,
사라오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,150,1324.7,440686,원형,#######,,
사려니,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,98,523,260107,말굽형(북동),#######,N,N
사려니 남서쪽,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,73,473,77637,원추형,#######,,
사제비동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,49,1423.8,95420,말굽형(서향),#######,,
